�..SpeciesID,RegionNumber,UnitCode,locality,SciName,scientificName,ExternalSourceCode,taxonID,TaxonCategoryGroup,TaxonCategoryName,kingdom,phylum,class,TaxonSubClass,TaxonInfraclass,order,TaxonSubOrder,family,taxonRank,genus,RefugeCommonNames,Synonyms,occurrenceStatus,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,source,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,ID
211889,7,FF07RKNA00,Kenai National Wildlife Refuge,Pinalitus rostratus,"Pinalitus rostratus Kelton, 1977",105287,757818,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miridae,species,Pinalitus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:238678,,,,jake_danner@fws.gov,5/27/2020 11:28,jake_danner@fws.gov,5/27/2020 11:28,757818
211890,7,FF07RKNA00,Kenai National Wildlife Refuge,Pipunculus luteicornis,"Pipunculus luteicornis Cresson, 1911",141710,42344,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Pipunculidae,species,Pipunculus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239786,,,,jake_danner@fws.gov,5/27/2020 11:35,jake_danner@fws.gov,5/27/2020 11:35,42344
211891,7,FF07RKNA00,Kenai National Wildlife Refuge,Pityohyphantes alticeps,"Pityohyphantes alticeps Chamberlin & Ivie, 1943",865479,805069,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,species,Pityohyphantes,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:238634,,,,jake_danner@fws.gov,5/27/2020 11:36,jake_danner@fws.gov,5/27/2020 11:36,805069
211892,7,FF07RKNA00,Kenai National Wildlife Refuge,Pityohyphantes cristatus,"Pityohyphantes cristatus Chamberlin & Ivie, 1942",865482,805072,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,species,Pityohyphantes,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240363,,,,jake_danner@fws.gov,5/27/2020 11:37,jake_danner@fws.gov,5/27/2020 11:37,805072
211893,7,FF07RKNA00,Kenai National Wildlife Refuge,Pityohyphantes limitaneus,"Pityohyphantes limitaneus (Emerton, 1915)",865485,805075,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,species,Pityohyphantes,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239216,,,,jake_danner@fws.gov,5/27/2020 11:38,jake_danner@fws.gov,5/27/2020 11:38,805075
211895,7,FF07RKNA00,Kenai National Wildlife Refuge,Platycheirus quadratus,"Platycheirus quadratus (Say, 1823)",139819,49892,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Syrphidae,species,Platycheirus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:238992,,,,jake_danner@fws.gov,5/27/2020 11:42,jake_danner@fws.gov,5/27/2020 11:42,49892
211559,7,FF07RKNA00,Kenai National Wildlife Refuge,Plebejus optilete,"Plebejus optilete (Knoch, 1781)",777931,766157,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Lepidoptera,,Lycaenidae,species,Plebejus,,,present,,,,,,,,,,,,,,,,,,Draft,Undecided,No,,http://arctos.database.museum/guid/UAM:Ento:364445,,,,jake_danner@fws.gov,5/8/2020 14:36,jake_danner@fws.gov,5/8/2020 14:36,766157
211897,7,FF07RKNA00,Kenai National Wildlife Refuge,Plectiscidea venusta,Plectiscidea venusta,-723959,623836,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Ichneumonidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240828,,,,jake_danner@fws.gov,6/1/2020 10:33,jake_danner@fws.gov,6/1/2020 10:33,623836
211532,7,FF07RKNA00,Kenai National Wildlife Refuge,Polyaulon canadensis,Polyaulon canadensis,-723934,623784,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Ichneumonidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:7330,,,,jake_danner@fws.gov,5/8/2020 12:46,jake_danner@fws.gov,5/8/2020 12:46,623784
211898,7,FF07RKNA00,Kenai National Wildlife Refuge,Polypedilum cultellatum,"Polypedilum cultellatum Goetghebuer, 1931",568536,294841,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Chironomidae,species,Polypedilum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240409,,,,jake_danner@fws.gov,6/1/2020 10:36,jake_danner@fws.gov,6/1/2020 10:36,294841
